CLIENT_CATEGORY;SEGMENT;Service;Channeltype;Source;football;DECLARED_FAULT;CREATE_DATE;CLOSETIME;all_num_of_repeat;num_of_repeat2;num_of_repeat5;num_of_repeat10;num_of_repeat30;num_of_repeat60;MITYPE;MIPRIORITY;MIIMPACT;TECHNICAL_DISTRICT;NumWFMforEI;Last_WFM_days_waiting;EIDayOfWeek;EIHourCreate
ФЛ;МР;8680;9204;8750;3;Телефония. Шум, треск, эхо;1502086587;1502113542;2;0;0;0;2;2;0;0;0;45;1;0;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не работает интернет;1502086567;1502150400;4;1;1;1;2;2;1;0;0;48;1;1;2;9
ФЛ;МР;8678;9204;8750;4;Интернет. Не открываются страницы;1502086561;1502150400;3;0;0;0;1;1;1;0;0;0;0;0;2;9
Corporate;КОРП;8680;0;8675;7;Снять переадресацию (авария устранена);1502086563;1502096625;0;0;0;0;0;0;0;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;Перенос/замена модели ONT;1502086666;1502188215;2;0;1;1;2;2;0;0;0;45;2;1;2;9
ФЛ;МР;8679;9204;8750;3;Интернет. Не работает интернет;1502086650;1502094132;3;0;0;0;1;1;0;0;0;4;1;1;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не работает интернет;1502086686;1502150400;2;0;0;0;1;1;1;0;0;49;1;1;2;9
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502086707;1502092512;2;0;0;0;1;2;0;0;0;48;1;1;2;9
SOHO;КОРП;8678;9633;8750;2;Интернет. Не работает интернет;1502086690;1502112978;9;0;0;0;1;1;0;0;0;0;0;0;2;9
GS-SLA1;ГОС;8678;0;8675;3;Не работает INTERNET;1502086691;1502093516;0;0;0;0;0;0;0;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;Не работает ONT. Нет индикации питания.;1502086744;1502127476;1;0;0;0;1;1;0;0;0;36;1;0;2;9
SME GS;КОРП;8680;9204;8750;4;Телефония. Не работает входящая связь;1502086781;1502104077;2;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8678;10769;8750;4;Интернет. Не открываются страницы;1502086837;1502186865;3;0;0;0;1;1;0;0;0;9;1;0;2;9
ФЛ;МР;8679;9633;8750;3;Интернет. Не открываются страницы;1502086881;1502114227;2;0;0;0;1;1;0;0;0;3;1;2;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не открываются все страницы;1502086870;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не открываются все страницы;1502086867;1502150400;3;1;1;1;2;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Проблема с оптическим кабелем;1502086979;1502123101;1;0;0;0;1;1;0;0;0;31;1;0;2;9
ФЛ;МР;8678;9633;8750;4;Интернет. Не работает интернет;1502087008;1502150400;5;0;0;0;1;2;1;0;0;0;0;0;2;9
ФЛ;МР;8678;9204;8750;4;Интернет. Не работает интернет;1502087067;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;9
SOHO;КОРП;8678;9633;8750;2;Интернет. Не работает интернет;1502087057;1502113321;2;0;0;0;1;1;0;0;0;0;0;0;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Низкая скорость;1502087118;1502150400;2;0;0;0;1;1;1;0;0;49;1;2;2;9
ФЛ;МР;8679;9204;8750;3;ТВ. Надпись на экране: сервер не найден;1502087205;1502106438;4;0;0;0;1;1;0;0;0;31;1;0;2;9
ФЛ;МР;8678;9204;8750;3;ONT не на линии. Проблема с оптическим кабелем;1502087189;1502111886;1;0;0;0;1;1;0;0;0;46;1;0;2;9
ФЛ;МР;8679;9204;8750;4;Интернет. Не открываются все страницы;1502087179;1502150400;2;0;0;0;2;2;1;0;0;0;0;0;2;9
SOHO;КОРП;9650;9203;8750;5;Интернет. Неустойчивая связь, плохие параметры;1502087164;1502105147;0;0;0;0;0;0;0;0;0;32;1;0;2;9
ФЛ;МР;8678;9204;8750;3;ТВ. Черный или синий экран;1502087217;1502113908;2;0;0;0;1;2;0;0;0;28;1;0;2;9
ФЛ;МР;8680;9205;8750;3;Телефония. Не работает входящая связь;1502087304;1502120769;1;0;0;0;1;1;0;0;0;44;1;0;2;9
ФЛ;МР;8679;9204;8750;3;ТВ. Черный или синий экран;1502087284;1502210821;14;0;0;0;1;1;0;0;0;4;1;1;2;9
ФЛ;МР;8678;9633;8750;2;Интернет. Не открываются страницы;1502087384;1502150400;4;0;0;0;1;1;1;0;0;48;1;3;2;9
ФЛ;МР;8679;9633;8750;2;Интернет. Не открываются страницы;1502087382;1502150400;1;0;0;0;1;1;1;0;0;49;1;2;2;9
